Update,Date,Ticker,Likes,Trader,Seguidores,Profile_Url,Recommendation,Title,Content,Sentiment
Atualizado ,2023-09-27 11:44:19,BTCUSD,16,GustavoCorrea1,2920,/u/GustavoCorrea1/,,PANORAMA BITCOIN 27/09 - Zona de suporte testada ✅,"


                            Comment:                        

                            Acabou de ocorrer uma confirmação BEAR: 








 

                        Olá Amigos! Fica aqui minha análise do Bitcoin. 
E espero que tenha ajudado. Deixe Boost e compartilhe esta ideia! 

Ah e não esquece de me seguir aqui no Trading View!
                    
",
,2023-09-27 19:45:45,BTCUSD,7,lsabr,11,/u/lsabr/,Viés de alta,Análise BTC/USD considerando movimento da notícia do SEC,"Deixo meu racional por trás desse movimento que vemos hoje 27/09 após uma expectativa em relação a fala do presidente da comissão de valores dos estados unidos (SEC) um orgão regulador de ativos mobiliários como a CVM que temos no brasil. 

Antes do depoimento do presidente da SEC o mercado viveu um momento de euforia elevando suas expectativas e realizando um brusco movimento de alta até uma máxima de uma estrutura anterior. Após as declarações do mesmo informando que o bitcoin não é um valor mobiliário e o adiamento das decisões em relação ao ETF do bitcoin o preço reagiu num brusco movimento de queda típico de notícia.  

A máxima sobe no boato e desce no fato nunca foi tão representada como os últimos movimentos de notícia relacionado aos ETF. 

Deixo no gráfico o racional e os possíveis próximos movimentos de nossa criptomoeda predominante. nan",1.0
,2023-09-28 08:43:51,BTCUSDT,7,MarceloTorres,3160,/u/MarceloTorres/,,ABERTURA SEMANAL: tudo sobre o futuro dos mercados,"Fala Trader! Segue a minha opinião em mais um gráfico atualizado para hoje. Não esqueça de deixar o seu LIKE nessa análise se achá-la útil. 

Só aqui você tem mais detalhes, com análises completas e  exclusivas.  
 nan",
,2023-09-27 12:10:13,US10Y,11,wilrepula,3,/u/wilrepula/,,Títulos Próximos das Máximas,"A crise subprime, ocorrida no final da década de 2000, foi um evento financeiro global que teve como epicentro os Estados Unidos e teve repercussões significativas em todo o mundo. Essa crise se originou no mercado de hipotecas subprime, que eram empréstimos imobiliários de alto risco concedidos a mutuários com históricos de crédito problemáticos. 

O problema central da crise subprime estava na embalagem dessas hipotecas em produtos financeiros complexos conhecidos como ""títulos lastreados em hipotecas"". Esses títulos eram vendidos a investidores em todo o mundo como investimentos seguros, pois supostamente eram respaldados por ativos imobiliários. No entanto, muitos desses empréstimos subprime acabaram inadimplentes à medida que os mutuários não conseguiam mais pagar as hipotecas, levando a uma desvalorização massiva desses títulos. 

A crise subprime resultou em uma cascata de efeitos adversos no sistema financeiro global, incluindo falências de bancos, uma crise de liquidez e uma recessão econômica global. Para combater os efeitos da crise, os governos tiveram que intervir com medidas de resgate e estímulo econômico em larga escala. 

Uma preocupação atual que está chamando a atenção dos investidores é o aumento dos rendimentos dos títulos do governo americano de 10 anos. Os rendimentos dos títulos do governo são usados como uma referência para os preços dos ativos financeiros e, quando eles sobem, isso pode ter implicações significativas para os investidores. 

O fato de os rendimentos dos títulos de 10 anos estarem se aproximando dos níveis pré-crise pode ser um sinal de preocupação. Isso pode indicar que os investidores estão buscando retornos mais altos em títulos do governo, o que poderia sugerir uma aversão ao risco crescente. Além disso, taxas de juros mais altas nos títulos do governo podem afetar negativamente o mercado de ações e tornar o custo do financiamento mais alto para empresas e consumidores. 

Portanto, é importante que os investidores estejam atentos a esses desenvolvimentos e considerem cuidadosamente suas estratégias de investimento. A história da crise subprime nos lembra que os eventos financeiros podem ter consequências imprevistas e que a cautela é fundamental ao tomar decisões de investimento, especialmente em um ambiente de mercado em constante mudança.  nan",
,2023-09-27 19:26:13,BTCUSDT,3,joaowedsonf,28,/u/joaowedsonf/,Viés de baixa,Bitcoin: Um Deja Vu do Ciclo 2020-2022? Uma Possível Redistribui,"O Paralelo com o Ciclo Anterior 

Para entender a ideia de que o Bitcoin está repetindo um movimento semelhante ao ciclo anterior, é essencial olhar para os eventos que marcaram esse período. Entre 2020 e 2022, o Bitcoin passou por uma notável valorização, atingindo máximas históricas e capturando a atenção global. No entanto, essa fase foi seguida por uma correção significativa que fez com que os preços despencassem, levando a criptomoeda de volta a níveis mais baixos. 

Agora, em 2023, vemos novamente o Bitcoin que atingiu +100% de valorização, atraindo um grande interesse de investidores institucionais e varejistas. No entanto, recentemente, o mercado experimentou uma volatilidade significativa e uma tendência de queda nos preços. Essa semelhança com o passado levanta questões sobre se estamos testemunhando uma repetição do ciclo anterior. 

 nan",-1.0
,2023-09-26 20:54:24,ICFZ2023,2,Rafael_Lagosta,90,/u/Rafael_Lagosta/,Viés de alta,*Café ao gosto do Cliente*,"🔥💰 ATENÇÃO TRADERS! 💰🔥 

Olá maravilhosos traders e entusiastas do mercado! 🚀 Como vocês estão? Espero que a resposta seja: No topo e crescendo! 📈 

Se você está à procura de insights valiosos sobre o MERCADO DE CAFÉ, você clicou no vídeo CERTO! 🍵 

Quer saber sobre as tendências atuais e o que o futuro reserva para o mercado de café? 🤔 Fique ligado, porque vou mergulhar fundo e compartilhar minhas análises e previsões baseadas em dados e pesquisa! 

Agora, uma pequena pausa para um pedido especial: 🙏 Se você curte nosso conteúdo, não se esqueça de CURTIR, COMENTAR e COMPARTILHAR. Seu engajamento ajuda muito e faz este gordinho aqui sorrir! 😄 

Seja um comentário positivo, construtivo ou apenas um emoji, deixe sua marca. 🌟 Isso ajuda a levar esse vídeo a mais pessoas e a enriquecer a comunidade com conhecimento valioso. 

Preparado para mergulhar no mundo fascinante do café? ☕️ Vamos nessa! E não esqueça: um grande beijo do lagosta! 🦞 #CafeMarketInsights #TradeComLagosta #SejaTop 

🔔 Ative o sininho para não perder nenhum update! E vamos ARREBENTAR juntos! 🔔📈 nan",1.0
,2023-09-27 19:58:27,BRKM5,1,topgrafx,4,/u/topgrafx/,,Long and $hort - BRKM5/ELET6,"Estou otimista com a abertura de uma operação de long and short envolvendo BRKM5 e ELET6. Estes papéis tem seus resíduos cointegrados em diversas janelas temporais e apresentam, hoje, uma razão não vista desde abril. A perspectiva é de retorno à média, gerando ganhos consideráveis no curto e médio prazos. 

Falarei sobre este caso amanhã, às 8h30, no ""Coffee Grafx"", meu programa diário aqui no Trading View. Caso queira assistir, é só acessar br.tradingview.com/streams/wJ0cH8o_9s/ 

Excelentes trades a todos! nan",
,2023-09-27 17:54:14,US30Y,2,hydraView,154,/u/hydraView/,,Aumento dos títulos públicos americanos é sinal de recessão?,"Boa tarde, investidores. 
Hoje daremos espaço para uma análise diferente, sobre os títulos públicos do governo americano. 
Estamos em um período diferente, com um rompimento da linha de tendência de baixa que vem lá dos anos 90 e agora chega no mesmo nível de crises como 2008 e 2011. 
O diferente vem por conta do rompimento dessa LTB e pelo momento de indecisão que temos. 
No ano de 2008 tivemos a crise do subprime, onde o calote no pagamento da hipoteca que se arrastava desde 2006, culminou na quebra do Lehman Brothers (que diziam que estavam em um long de 22x) e se alastrou pelo mundo em tudo que era ligado a títulos imobiliários. 
Em 2011 os EUA contraíram mais dívidas do que o teto permitia e com isso tiveram que elevar o teto de gastos, pedindo por mais impressão de dinheiro e consequentemente fazendo a inflação saltar de 1,64% em 2010 para 3,16% em 2011. 
O que pode ocorrer é que com o aumento inflacionário dos preços haverá um aumento de juros para conte-los e com isso despenquem os preços e com isso, o setor imobiliário tem outra derrota. 
O IFIX (índice dos fundos imobiliários) acumula uma perda desde o começo do mês de Setembro e 1,1% na semana, o que não é o suficiente para falarmos em crise, mas há fundos que perdas de mais de 50% como o HCTR11, com uma perda de 71,11% em 1 ano. 
E quanto mais calote, maior a perda do fundo. 
Fiquem atentos para o ciclo econômico e fiquem com Deus. 
 nan",
,2023-09-27 18:43:26,USOIL.F,2,BlackBull_Markets,154,/broker/BlackBull_Markets/,,O Petróleo Eleva 2023: Estabelece Novos Níveis De Apoio?,"O petróleo sobe para os máximos de 2023: estabelece novos níveis de apoio? 

Os Futuros do Petróleo Bruto WTi subiram 3,5% na quarta-feira, atingindo brevemente acima de US $94, marcando seu maior preço de liquidação de 2023. Este rali impressionante seguiu-se à divulgação de dados da EIA, indicando uma diminuição maior do que o esperado nos estoques de petróleo dos EUA, mostrando uma queda de 2,17 milhões de barris na semana passada. 

Paralelamente, Os Futuros do petróleo Brent registaram um aumento substancial de 2,8%, atingindo 96,55 dólares e até mesmo ultrapassando o limiar de 97 Dólares durante o pregão. 

O sentimento do mercado está cada vez mais preocupado com o aperto da oferta à medida que nos aproximamos do inverno do hemisfério norte. No início do Mês, Os principais players da OPEP+, Arábia Saudita e Rússia, estenderam os cortes de oferta de 1,3 milhão de barris até o final do ano. 

A questão que surge é se o petróleo pode cair abaixo dos mínimos recentes de US $ 88,00 por barril sem uma decisão de aumentar a produção? E se não vemos o ímpeto para o petróleo continuar subindo, quão bem pensamos que as recentes máximas mais altas (us$92,65) e mais baixas (us$91,30) se sairão contra alguma potencial pressão corretiva de baixa? nan",
,2023-09-28 08:48:54,DXY,2,mgptec,47,/u/mgptec/,,Resumo do Mercado 28/09/2023,"1 - Mercado americano reage a véspera de dia movimentado do ponto de vista do calendário econômico. 

2 - Petróleo faz retoque na zona de 92 dólares porém commodity pode começar trabalhar em nova faixa de preços . 

3 - Alta do dólar derruba ouro que chega a 1875 e pode começar a trabalhar em novo range de preços. 


ÍNDICES US500, US30, USTEC- Dia agitado no mercado americano com vários dados econômicos importantes a serem divulgados e discurso do Powell. 

Dolar - Dólar (DXY) em dia de ressaca após grande alta no dia de ontem regado a resultado de bens duráveis e estoque de petróleo. 

EURUSD - Euro se recupera porém pode se consolidar abaixo de 1,053 

 XAUUSD - Ouro chega a 1875 e pode trabalhar em novo range de preços. 

Petróleo - Petróleo pode se manter acima de 92 dólares o barril já que essa zona é uma zona importante de suporte. 

Criptomoedas - BTC positivo mesmo com dia negativo nas bolsas. 

ATENÇÃO POR FAVOR: 
Caso esteja gostando do conteúdo, não se esqueça de clicar no ""foguete/like"", isso me ajuda entender que o conteúdo está agradando e faz com que esse conteúdo alcance mais gente. 

Especialista - Michel de Paula 
 nan",
,2023-09-27 07:36:25,IBOV,3,BolsaeValor,10,/u/BolsaeValor/,Viés de alta,Morning Report 27/09/2023,"Agenda 
09:00 – BRA – Presidente do Banco Central, Roberto Campos Neto participa de audiência pública da Comissão de Finanças da Câmara 
09:30 – BRA – Encomendas de bens duráveis 
11:30 – USA – Estoques de petróleo 
14:30 – BRA – Fluxo Cambial Estrangeiro 






USDBRL



IBOV



VALE3



PETR4



Brasil 
Em meio às incertezas relacionadas ao fiscal do país, o 
			

IBOV

		 volta aos patamares dos 114 mil pontos, mínima de 21 de agosto. Enquanto a cotação do 
			




USDBRL

		 ameaça ganhar os R$ 5,00. 

Política: 
A Comissão de Assuntos Econômicos (CAE) do Senado aprovou, ontem, o projeto de lei referente ao novo Regime Especial de Regularização Cambial e Tributária (RERCT), popularmente conhecido como repatriação de ativos. Este texto estabelece que a alíquota do Imposto de Renda devido será fixada em 14%, além da imposição de uma multa de 90% sobre o montante devido. É importante ressaltar que, devido à natureza terminativa da comissão, o projeto seguirá para a Câmara dos Deputados, a menos que seja apresentado um recurso para análise em plenário. 

No tocante à reforma tributária em andamento no Senado, o relator Eduardo Braga informou que não conseguirá apresentar seu relatório na próxima semana. Ele justificou esse adiamento alegando questões pessoais e pressão política. Segundo ele, ainda há a necessidade de acertar os detalhes do texto com a Câmara dos Deputados, para onde o texto modificado retornará para uma nova votação, caso seja aprovado no Senado. 

Em relação às promessas do governo na área econômica, o presidente Luiz Inácio Lula da Silva reiterou seu compromisso e assegurou que não haverá mudanças abruptas na economia. Suas declarações surgem em meio a um clima cético entre economistas e membros do Legislativo, que serão responsáveis por aprovar o Orçamento de 2024. Este orçamento contempla a ambiciosa meta do governo de reduzir o déficit das contas públicas a zero no próximo ano. Para alcançar esse objetivo, o governo busca reformular o modelo de pagamento de precatórios, com o intuito de criar margem fiscal nos orçamentos futuros. De acordo com estimativas, essa alteração poderá liberar até R$ 25 bilhões em 2024. 

Estados Unidos 


SPX



NDX



DJI



US10Y







		Sob a perspectiva da análise técnica, observa-se que os índices de ações 
			

NDX

		 e 
			

SPX

		 estão atualmente imersos em um período de incerteza, aproximando-se das mínimas registradas em junho deste ano. Os investidores continuam a demonstrar confiança em uma pausa na elevação das taxas de juros pelo Federal Reserve (Fed), embora seja previsto que o órgão mantenha as taxas em patamares elevados por um período mais prolongado. A próxima reunião de política monetária do Fed está marcada para o dia 1º de novembro. 

No cenário dos futuros dos índices de ações dos Estados Unidos, observa-se um movimento de alta nesta terça-feira. Esse impulso ocorre em resposta ao pronunciamento do presidente da Câmara, o republicano Kevin McCarthy, que anunciou a intenção de propor uma resolução de continuidade temporária para evitar a paralisação do governo, conhecida como ""Shutdown"". Paralelamente, os líderes do Senado chegaram a um acordo para manter o financiamento do governo em funcionamento, evitando assim uma interrupção antes do prazo estipulado para o dia 1º de outubro. Vale ressaltar que essa solução temporária ainda depende de um acordo com a oposição republicana que lidera a Câmara, visando estender o financiamento governamental até meados de novembro. 

Europa 


SX5E



DAX



UKX



CAC40







		Nesta manhã, os índices de ações europeias apresentam um cenário de negociações sem uma direção clara, à medida que os investidores aguardam a divulgação de dados cruciais de inflação que serão publicados na quinta e sexta-feira em várias nações ao redor do globo. 

Ásia/Pacífico 


HSI


000062



NI225



KOSPI







		Os mercados de ações da Ásia/Pacífico fecharam mistos nesta madrugada. Os principais índices chineses encerraram a sessão em alta, impulsionados pela sinalização do Banco do Povo da China (BC) de que a política monetária continuará a apoiar a recuperação econômica por meio de medidas expansionistas. Além disso, os lucros das empresas industriais do país registraram queda de 11,7%, o que representa uma melhora em relação ao mês anterior. Por outro lado, a ata da última reunião de política monetária do Banco do Japão revelou divergências entre os membros da instituição quanto ao momento adequado para iniciar o aumento das taxas de juro. 

Commodities 


FEF2!



GOLD



USOIL


AW1!







		Os contratos futuros do petróleo Brent 
			

UKOIL

		 e WTI 
			

USOIL

		 são negociados em alta, cotados a US$ 93,40 e US$ 91,70 o barril respectivamente. 

O Minério de Ferro 
			

FEF1!

		 negociado em Singapura registrou alta de 0,24%, cotado a US$ 120,70 a tonelada. As minerados 
			

BHP

		 e 
			

RIO

		 encerram os pregões na Austrália em alta de 0,44% e 0,14% respectivamente. 
 nan",1.0
Atualizado ,2023-09-27 09:59:24,BTCUSDT,2,Tradeelliott,25,/u/Tradeelliott/,Viés de alta,entrada de contra em curto prazo ,"


                            Trade closed: target reached                        






                            Comment:                        

                            caso queira entrar vendido, coloque o seu stop nessa resistência nova, acreditando numa queda

                        

 

                        entrada de contra no padrão de Cunha, esse  padrão ler um movimento de alta de curto prazo então, coloque seu stop no zero a zero quando o  preço movimenta para seu lado.
                    
",1.0
,2023-09-27 08:50:43,BTCUSDT,1,canalmercadocripto,15,/u/canalmercadocripto/,Viés de alta,Bitcoin: Possíveis regiões de liquidação,"Bitcoin segurou lindamente em região de 50% de fibo, agora temos topos anteriores recheados de possíveis ordens de SHORTS, o momento agora é de aguardar e ser sniper 







 nan",1.0
,2023-09-27 08:53:21,XAUUSD,3,mgptec,47,/u/mgptec/,,Resumo do Mercado 27/09/2023,"1 - Dólar alcança a máxima dos últimos 10 meses e derruba índices e ouro enquanto mercado avalia possibilidade de taxa de juros alta por longo prazo.. 

2 - Petróleo se recupera na expectativa de divulgação de estoques bruto de petróleo americano. 

3 - Índices e criptomoedas ensaiam recuperação no dia de hoje após grandes correções nos últimos dias.. 


ÍNDICES US500, US30, USTEC- Índices ligeiramente positivos depois de grande rally de baixa por conta de alta do dolar. 

Dolar - Dólar (DXY) dolar rompe a máxima do ano e já se encontra em máxima dos últimos 10 meses. 

EURUSD - Euro em baixa contra o dolar toca suporte do ano. 

 XAUUSD - Ouro rompe suporte de 1.900 e pode buscar 1880. 

Petróleo - Petróleo em alta a espera dos estoques de petróleo. 

Criptomoedas - BTC em alta ao passo que mercado começa a recuperar otimismo. 

ATENÇÃO POR FAVOR: 
Caso esteja gostando do conteúdo, não se esqueça de clicar no ""foguete/like"", isso me ajuda entender que o conteúdo está agradando e faz com que esse conteúdo alcance mais gente. 

Especialista - Michel de Paula 
 nan",
,2023-09-27 08:40:04,BTCUSDT,2,canalmercadocripto,15,/u/canalmercadocripto/,Viés de alta,"Bitcoin, É agora ou nunca!!!","E aí ? o que acham? 







 nan",1.0
Atualizado ,2023-09-28 12:57:00,JPM,4,rafael-fedele,2,/u/rafael-fedele/,Viés de alta,JPM | Data Análise | 11/09/2023 | Nova Analise,"


                            Trade active:                        

                            Atualização | 14/09/2023 

Status | 🟢 | Operação Iniciada 

Entrada | $ 148,24 
Stop Loss | $ 143,38 (Inicial)

                        




                            Comment:                        

                            Atualização | 28/09/2023 

Atualização | Realizada uma adição de posição pelo Time Frame de 1D mais pesada que a entrada para melhorar o preço médio já que o mercado possibilitou a ação. 

Adição | Região $ 146,609 
Stop Loss | Na mesma região inicial

                        

 

                        Ticket | JPM | 🇺🇸 
Time Frame | W1 

Operação | ⬆ | Compra 
Status | 🔴 | Aguardando Compradores 

Detalhes | Ativo com uma tendência de compra engatada, com um retorno proporcional a subida. 
Regiões de MM20 e MM40 
Acima da MM200 

Ações | Aguardar o aparecimento de compradores e definir ponto de Entrada, Stop e Lote. 

Entrada | Aguardando Compradores (Média de Preço $ 142,20 a $ 148,28) 

Alvo | Primeiro Topo a 6% com possibilidades visíveis de até 16%
                    
",1.0
